"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 01 18:59:23 UTC 2026","Wed Apr 01 18:59:41 UTC 2026","17371","","Formulários","","","","Validar que campo de texto aceita entrada vazia sem erro",""
"passed","Wed Apr 01 18:59:57 UTC 2026","Wed Apr 01 19:00:18 UTC 2026","21192","","Formulários","","","","Validar alternância do switch de ativo para inativo",""
"passed","Wed Apr 01 18:59:41 UTC 2026","Wed Apr 01 18:59:57 UTC 2026","16272","","Formulários","","","","Validar alternância do switch de inativo para ativo",""
"passed","Wed Apr 01 18:59:01 UTC 2026","Wed Apr 01 18:59:23 UTC 2026","22295","","Formulários","","","","Verificar preenchimento do campo de texto e reflexo no resultado",""
"passed","Wed Apr 01 19:01:36 UTC 2026","Wed Apr 01 19:01:56 UTC 2026","19760","","Login","","","","Validar erro ao informar email em formato incorreto",""
"passed","Wed Apr 01 19:00:51 UTC 2026","Wed Apr 01 19:01:14 UTC 2026","23027","","Login","","","","Verificar login com sucesso",""
"passed","Wed Apr 01 19:02:29 UTC 2026","Wed Apr 01 19:02:40 UTC 2026","10791","","Navegação entre telas","","","","Verificar navegação para a tela de Login via menu inferior",""
"passed","Wed Apr 01 19:01:56 UTC 2026","Wed Apr 01 19:02:10 UTC 2026","14054","","Login","","","","Validar erro ao tentar login sem preencher os campos",""
"passed","Wed Apr 01 19:02:40 UTC 2026","Wed Apr 01 19:02:50 UTC 2026","10264","","Navegação entre telas","","","","Verificar navegação para a tela de Formulários via menu inferior",""
"passed","Wed Apr 01 19:01:14 UTC 2026","Wed Apr 01 19:01:36 UTC 2026","21853","","Login","","","","Validar erro ao informar senha inválida (menos de 8 caracteres)",""
"passed","Wed Apr 01 19:00:18 UTC 2026","Wed Apr 01 19:00:39 UTC 2026","20964","","Formulários","","","","Validar seleção de opção no dropdown e exibição do valor selecionado",""
"passed","Wed Apr 01 19:02:18 UTC 2026","Wed Apr 01 19:02:29 UTC 2026","11004","","Navegação entre telas","","","","Verificar que todos os itens do menu inferior estão visíveis na tela inicial",""
